NIR_No,Rows,year,test,loc,cross,plant_no,color,bar_code
NIR-06930,40,2021,HIF 5,PLY,30,Osage,2,2021_PLY_HIF 5_30_Osage_2_NIR-06930
NIR-06929,14,2021,HIF 5,PLY,30,Osage,1,2021_PLY_HIF 5_30_Osage_1_NIR-06929
NIR-06928,45,2021,HIF 5,PLY,29,Ellis,2,2021_PLY_HIF 5_29_Ellis_2_NIR-06928
NIR-06927,4,2021,HIF 5,PLY,29,Ellis,1,2021_PLY_HIF 5_29_Ellis_1_NIR-06927
NIR-06926,33,2021,HIF 5,PLY,28,V14-3508,2,2021_PLY_HIF 5_28_V14-3508_2_NIR-06926
NIR-06925,23,2021,HIF 5,PLY,28,V14-3508,1,2021_PLY_HIF 5_28_V14-3508_1_NIR-06925
NIR-06924,36,2021,HIF 5,PLY,27,RM19-2736,2,2021_PLY_HIF 5_27_RM19-2736_2_NIR-06924
NIR-06923,25,2021,HIF 5,PLY,27,RM19-2736,1,2021_PLY_HIF 5_27_RM19-2736_1_NIR-06923
NIR-06922,34,2021,HIF 5,PLY,26,RM19-2734,2,2021_PLY_HIF 5_26_RM19-2734_2_NIR-06922
NIR-06921,8,2021,HIF 5,PLY,26,RM19-2734,1,2021_PLY_HIF 5_26_RM19-2734_1_NIR-06921
NIR-06920,35,2021,HIF 5,PLY,25,RM19-2733,2,2021_PLY_HIF 5_25_RM19-2733_2_NIR-06920
NIR-06919,29,2021,HIF 5,PLY,25,RM19-2733,1,2021_PLY_HIF 5_25_RM19-2733_1_NIR-06919
NIR-06918,56,2021,HIF 5,PLY,24,RM19-2731,2,2021_PLY_HIF 5_24_RM19-2731_2_NIR-06918
NIR-06917,28,2021,HIF 5,PLY,24,RM19-2731,1,2021_PLY_HIF 5_24_RM19-2731_1_NIR-06917
NIR-06916,41,2021,HIF 5,PLY,23,RM19-2729,2,2021_PLY_HIF 5_23_RM19-2729_2_NIR-06916
NIR-06915,19,2021,HIF 5,PLY,23,RM19-2729,1,2021_PLY_HIF 5_23_RM19-2729_1_NIR-06915
NIR-06914,38,2021,HIF 5,PLY,22,RM19-2722,2,2021_PLY_HIF 5_22_RM19-2722_2_NIR-06914
NIR-06913,3,2021,HIF 5,PLY,22,RM19-2722,1,2021_PLY_HIF 5_22_RM19-2722_1_NIR-06913
NIR-06912,59,2021,HIF 5,PLY,21,RM19-2712,2,2021_PLY_HIF 5_21_RM19-2712_2_NIR-06912
NIR-06911,13,2021,HIF 5,PLY,21,RM19-2712,1,2021_PLY_HIF 5_21_RM19-2712_1_NIR-06911
NIR-06910,39,2021,HIF 5,PLY,20,RM19-2708,2,2021_PLY_HIF 5_20_RM19-2708_2_NIR-06910
NIR-06909,12,2021,HIF 5,PLY,20,RM19-2708,1,2021_PLY_HIF 5_20_RM19-2708_1_NIR-06909
NIR-06908,49,2021,HIF 5,PLY,19,RM19-2705,2,2021_PLY_HIF 5_19_RM19-2705_2_NIR-06908
NIR-06907,11,2021,HIF 5,PLY,19,RM19-2705,1,2021_PLY_HIF 5_19_RM19-2705_1_NIR-06907
NIR-06906,51,2021,HIF 5,PLY,18,RM19-2701,2,2021_PLY_HIF 5_18_RM19-2701_2_NIR-06906
NIR-06905,16,2021,HIF 5,PLY,18,RM19-2701,1,2021_PLY_HIF 5_18_RM19-2701_1_NIR-06905
NIR-06904,58,2021,HIF 5,PLY,17,RM19-2700,2,2021_PLY_HIF 5_17_RM19-2700_2_NIR-06904
NIR-06903,9,2021,HIF 5,PLY,17,RM19-2700,1,2021_PLY_HIF 5_17_RM19-2700_1_NIR-06903
NIR-06902,53,2021,HIF 5,PLY,16,RM19-2682,2,2021_PLY_HIF 5_16_RM19-2682_2_NIR-06902
NIR-06901,6,2021,HIF 5,PLY,16,RM19-2682,1,2021_PLY_HIF 5_16_RM19-2682_1_NIR-06901
NIR-06900,50,2021,HIF 5,PLY,15,RM19-2676,2,2021_PLY_HIF 5_15_RM19-2676_2_NIR-06900
NIR-06899,15,2021,HIF 5,PLY,15,RM19-2676,1,2021_PLY_HIF 5_15_RM19-2676_1_NIR-06899
NIR-06898,48,2021,HIF 5,PLY,14,RM19-2674,2,2021_PLY_HIF 5_14_RM19-2674_2_NIR-06898
NIR-06897,2,2021,HIF 5,PLY,14,RM19-2674,1,2021_PLY_HIF 5_14_RM19-2674_1_NIR-06897
NIR-06896,57,2021,HIF 5,PLY,13,RM19-2673,2,2021_PLY_HIF 5_13_RM19-2673_2_NIR-06896
NIR-06895,5,2021,HIF 5,PLY,13,RM19-2673,1,2021_PLY_HIF 5_13_RM19-2673_1_NIR-06895
NIR-06894,37,2021,HIF 5,PLY,12,RM19-2665,2,2021_PLY_HIF 5_12_RM19-2665_2_NIR-06894
NIR-06893,18,2021,HIF 5,PLY,12,RM19-2665,1,2021_PLY_HIF 5_12_RM19-2665_1_NIR-06893
NIR-06892,43,2021,HIF 5,PLY,11,RM19-2658,2,2021_PLY_HIF 5_11_RM19-2658_2_NIR-06892
NIR-06891,24,2021,HIF 5,PLY,11,RM19-2658,1,2021_PLY_HIF 5_11_RM19-2658_1_NIR-06891
NIR-06890,54,2021,HIF 5,PLY,10,RM19-2656,2,2021_PLY_HIF 5_10_RM19-2656_2_NIR-06890
NIR-06889,27,2021,HIF 5,PLY,10,RM19-2656,1,2021_PLY_HIF 5_10_RM19-2656_1_NIR-06889
NIR-06888,31,2021,HIF 5,PLY,9,RM19-2655,2,2021_PLY_HIF 5_9_RM19-2655_2_NIR-06888
NIR-06887,7,2021,HIF 5,PLY,9,RM19-2655,1,2021_PLY_HIF 5_9_RM19-2655_1_NIR-06887
NIR-06886,32,2021,HIF 5,PLY,8,RM19-2700-2,2,2021_PLY_HIF 5_8_RM19-2700-2_2_NIR-06886
NIR-06885,22,2021,HIF 5,PLY,8,RM19-2700-2,1,2021_PLY_HIF 5_8_RM19-2700-2_1_NIR-06885
NIR-06884,46,2021,HIF 5,PLY,7,RM19-2635,2,2021_PLY_HIF 5_7_RM19-2635_2_NIR-06884
NIR-06883,17,2021,HIF 5,PLY,7,RM19-2635,1,2021_PLY_HIF 5_7_RM19-2635_1_NIR-06883
NIR-06882,60,2021,HIF 5,PLY,6,RM19-2634,2,2021_PLY_HIF 5_6_RM19-2634_2_NIR-06882
NIR-06881,30,2021,HIF 5,PLY,6,RM19-2634,1,2021_PLY_HIF 5_6_RM19-2634_1_NIR-06881
NIR-06880,44,2021,HIF 5,PLY,5,RM19-2630,2,2021_PLY_HIF 5_5_RM19-2630_2_NIR-06880
NIR-06879,26,2021,HIF 5,PLY,5,RM19-2630,1,2021_PLY_HIF 5_5_RM19-2630_1_NIR-06879
